Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,6,0.04380158,0.06775834,0.12773451,0.16749,0.20176597,0.06899817,0.22986157,0.092589766
1,0,0,0,0,0,0,0,1,6,0.0468733,0.031110361,0.19793387,0.09761454,0.21167731,0.035230625,0.30170164,0.077858314
2,0,0,0,0,0,0,1,0,3,0.03844764,0.075619526,0.08765063,0.45096996,0.02264501,0.08527388,0.124506496,0.11488681
3,0,0,0,0,0,0,1,1,3,0.047164947,0.040788617,0.17881177,0.33825877,0.031946454,0.050594088,0.18384673,0.1285888
4,0,0,0,0,0,1,0,0,6,0.16094626,0.06457052,0.045920268,0.11450261,0.15201896,0.07061178,0.29540718,0.09602238
5,0,0,0,0,0,1,0,1,6,0.1474868,0.02733887,0.057646994,0.048773836,0.22493044,0.0325675,0.362639,0.09861658
6,0,0,0,0,0,1,1,0,3,0.14582169,0.08458875,0.03353435,0.3025685,0.02006351,0.09623447,0.17142138,0.14576739
7,0,0,0,0,0,1,1,1,6,0.17177579,0.044085283,0.06028707,0.17930889,0.038350463,0.054723356,0.2570056,0.1944635
8,0,0,1,0,0,0,0,0,3,0.017555358,0.044466086,0.21119238,0.37721384,0.06149473,0.047255106,0.07239278,0.16842984
9,0,0,1,0,0,0,0,1,2,0.036188096,0.027695822,0.28507125,0.25805014,0.08237633,0.03222827,0.07500903,0.20338103
10,0,0,1,0,0,0,1,0,3,0.010039195,0.026769567,0.07053126,0.68869156,0.004592208,0.030461976,0.024071326,0.14484301
11,0,0,1,0,0,0,1,1,3,0.022386534,0.019413099,0.12445803,0.579518,0.007998134,0.023665292,0.026940867,0.19562005
12,0,0,1,0,0,1,0,0,7,0.2383516,0.0429158,0.043839913,0.26503775,0.03135511,0.047573347,0.049500376,0.28142604
13,0,0,1,0,0,1,0,1,7,0.33172724,0.021814091,0.0444808,0.12011168,0.050323404,0.026114611,0.047275074,0.358153
14,0,0,1,0,0,1,1,0,3,0.13495095,0.030954145,0.016150182,0.48042524,0.002714045,0.034253836,0.016786974,0.2837647
15,0,0,1,0,0,1,1,1,7,0.2103119,0.018289099,0.02322211,0.2869491,0.0052843494,0.021769492,0.018416816,0.4157571
16,0,0,2,0,0,0,0,0,3,0.0021300183,0.040348474,0.3413208,0.37218714,0.0431793,0.044129495,0.0759131,0.08079166
17,0,0,2,0,0,0,0,1,2,0.006150061,0.025989484,0.40646738,0.2911217,0.06318311,0.029482007,0.05523877,0.12236757
18,0,0,2,0,0,0,1,0,3,0.0013049593,0.025116595,0.10457828,0.7339917,0.0032530546,0.027650727,0.023716753,0.08038805
19,0,0,2,0,0,0,1,1,3,0.0036204387,0.017490119,0.1537569,0.6661367,0.0055478252,0.019813647,0.017379018,0.116255336
20,0,0,2,0,0,1,0,0,3,0.08006779,0.056011003,0.08467993,0.39939153,0.032487594,0.06496025,0.06489937,0.21750252
21,0,0,2,0,0,1,0,1,7,0.17741251,0.03241747,0.078159876,0.22804205,0.057389528,0.03896165,0.04471192,0.342905
22,0,0,2,0,0,1,1,0,3,0.044196386,0.03259928,0.022731384,0.66126335,0.002222397,0.036494434,0.015728923,0.18476383
23,0,0,2,0,0,1,1,1,3,0.09912345,0.021390704,0.029433308,0.49427873,0.0044538085,0.024997644,0.012426142,0.3138963
24,0,0,3,0,0,0,0,0,2,0.0002014751,0.029096622,0.50112987,0.27302107,0.035386927,0.031890605,0.09969747,0.02957601
25,0,0,3,0,0,0,0,1,2,0.0006326402,0.01763476,0.5835263,0.21572784,0.055087574,0.019708084,0.06239524,0.045287523
26,0,0,3,0,0,0,1,0,3,0.0001558852,0.023546522,0.18631035,0.6866804,0.0030800432,0.02549221,0.035987176,0.038747527
27,0,0,3,0,0,0,1,1,3,0.0004368603,0.014492677,0.2617502,0.62479097,0.005286088,0.016055461,0.022072533,0.05511516
28,0,0,3,0,0,1,0,0,3,0.012186449,0.058263406,0.17616233,0.4176936,0.03968495,0.06805897,0.118799604,0.10915063
29,0,0,3,0,0,1,0,1,3,0.038089305,0.039813884,0.19249849,0.30588713,0.08756683,0.047438607,0.08307917,0.20562659
30,0,0,3,0,0,1,1,0,3,0.007375953,0.035703328,0.047063086,0.74887866,0.0025606882,0.040336948,0.027095685,0.09098552
31,0,0,3,0,0,1,1,1,3,0.021117546,0.024783835,0.06500746,0.6680453,0.0056342394,0.028917646,0.019880088,0.16661392
32,0,0,4,0,0,0,0,0,2,1.9632755e-05,0.017991804,0.6301422,0.19034575,0.02316238,0.019566234,0.10662829,0.012143773
33,0,0,4,0,0,0,0,1,2,6.0615588e-05,0.010062234,0.71977633,0.1458608,0.037179485,0.011153842,0.059401218,0.016505508
34,0,0,4,0,0,0,1,0,3,1.9255025e-05,0.01845826,0.2941285,0.5984451,0.002400603,0.020125274,0.046756774,0.019666301
35,0,0,4,0,0,0,1,1,3,5.2170348e-05,0.010184068,0.3991986,0.52446926,0.0041211997,0.011358505,0.025231797,0.025384545
36,0,0,4,0,0,1,0,0,3,0.0015199627,0.044949453,0.2879894,0.369864,0.03353339,0.052670117,0.15565804,0.05381564
37,0,0,4,0,0,1,0,1,2,0.005119745,0.031617243,0.34482384,0.29379386,0.081295796,0.037368312,0.1072971,0.098684125
38,0,0,4,0,0,1,1,0,3,0.0010290999,0.031695962,0.08841492,0.75124943,0.0023705238,0.036426082,0.039674193,0.049139816
39,0,0,4,0,0,1,1,1,3,0.0031071904,0.021586891,0.12779312,0.70473707,0.005405165,0.025227942,0.027516259,0.08462629
40,0,0,0,1,0,0,0,0,6,0.04380158,0.06775834,0.12773451,0.16749,0.20176597,0.06899817,0.22986157,0.092589766
41,0,0,0,1,0,0,0,1,6,0.0468733,0.031110361,0.19793387,0.09761454,0.21167731,0.035230625,0.30170164,0.077858314
42,0,0,0,1,0,0,1,0,3,0.03844764,0.075619526,0.08765063,0.45096996,0.02264501,0.08527388,0.124506496,0.11488681
43,0,0,0,1,0,0,1,1,3,0.047164947,0.040788617,0.17881177,0.33825877,0.031946454,0.050594088,0.18384673,0.1285888
44,0,0,0,1,0,1,0,0,6,0.16094626,0.06457052,0.045920268,0.11450261,0.15201896,0.07061178,0.29540718,0.09602238
45,0,0,0,1,0,1,0,1,6,0.1474868,0.02733887,0.057646994,0.048773836,0.22493044,0.0325675,0.362639,0.09861658
46,0,0,0,1,0,1,1,0,3,0.14582169,0.08458875,0.03353435,0.3025685,0.02006351,0.09623447,0.17142138,0.14576739
