Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,6,0.029301655,0.045094427,0.32436505,0.062460866,0.14015889,0.027898412,0.3616267,0.009093948
1,0,0,0,0,0,0,0,1,2,0.044592977,0.057527296,0.37627912,0.11666269,0.112109885,0.03312006,0.24160165,0.018106287
2,0,0,0,0,0,0,1,0,2,0.008340831,0.024239417,0.34084794,0.23057431,0.06394224,0.014136691,0.30566934,0.012249335
3,0,0,0,0,0,0,1,1,2,0.012656498,0.027746562,0.3332431,0.33062482,0.0506911,0.015712798,0.20782161,0.0215035
4,0,0,0,0,0,1,0,0,6,0.1718273,0.056757428,0.073349066,0.019017763,0.2748904,0.030929817,0.35211784,0.021110352
5,0,0,0,0,0,1,0,1,6,0.20382243,0.07661659,0.1265653,0.050556153,0.20874593,0.039658636,0.25424805,0.039786935
6,0,0,0,0,0,1,1,0,6,0.20928845,0.07028153,0.09808144,0.046700157,0.22223715,0.035484314,0.27474704,0.043179855
7,0,0,0,0,0,1,1,1,0,0.22902657,0.081333876,0.14216472,0.09172567,0.15712333,0.040986955,0.19144124,0.06619759
8,0,0,1,0,0,0,0,0,3,0.08459238,0.051239733,0.18984894,0.34569025,0.06629877,0.026261637,0.14061986,0.09544833
9,0,0,1,0,0,0,0,1,3,0.068698175,0.05054803,0.23034047,0.37477562,0.054986928,0.02578858,0.1147735,0.08008872
10,0,0,1,0,0,0,1,0,3,0.008275325,0.015142493,0.16336235,0.6225862,0.023330668,0.0078767445,0.11934427,0.040081963
11,0,0,1,0,0,0,1,1,3,0.007362063,0.015039562,0.18996164,0.61303335,0.021329792,0.008064905,0.1111491,0.03405962
12,0,0,1,0,0,1,0,0,0,0.5530821,0.05278258,0.025057016,0.036686655,0.10570889,0.023847057,0.07900028,0.12383545
13,0,0,1,0,0,1,0,1,0,0.44720992,0.06990032,0.056812543,0.07164345,0.10687502,0.03207147,0.08970347,0.1257838
14,0,0,1,0,0,1,1,0,0,0.31911528,0.06210808,0.059058107,0.114253856,0.12253892,0.028190287,0.14250393,0.15223145
15,0,0,1,0,0,1,1,1,0,0.24261431,0.06971624,0.10770634,0.16330788,0.1102242,0.033415224,0.14459313,0.12842265
16,0,0,2,0,0,0,0,0,3,0.026711646,0.030719344,0.19923654,0.43456334,0.0528039,0.016079089,0.18384919,0.056036983
17,0,0,2,0,0,0,0,1,3,0.020838043,0.029527105,0.2428764,0.45155796,0.04331993,0.01563278,0.1519422,0.044305548
18,0,0,2,0,0,0,1,0,3,0.002339885,0.00801068,0.1518989,0.65509886,0.016700039,0.004328718,0.14152682,0.020096045
19,0,0,2,0,0,0,1,1,3,0.0020590725,0.0077813664,0.17373332,0.65361214,0.0145856105,0.004349379,0.12658085,0.017298194
20,0,0,2,0,0,1,0,0,0,0.4574646,0.057965565,0.03360951,0.043793883,0.14276548,0.026409643,0.12610443,0.11188697
21,0,0,2,0,0,1,0,1,0,0.3658454,0.07281155,0.070663,0.076744586,0.13747224,0.034093827,0.1352576,0.10711182
22,0,0,2,0,0,1,1,0,6,0.14893076,0.05139802,0.08087677,0.17725465,0.13835503,0.024107464,0.2582115,0.120865814
23,0,0,2,0,0,1,1,1,3,0.110717855,0.053506978,0.1320868,0.23402582,0.11225346,0.026528057,0.23176953,0.0991115
24,0,0,3,0,0,0,0,0,3,0.0087692365,0.016635295,0.17029817,0.53604466,0.034594752,0.008771436,0.1883564,0.036530048
25,0,0,3,0,0,0,0,1,3,0.0067772297,0.015589374,0.20391639,0.557585,0.02726517,0.008390322,0.15141241,0.029063966
26,0,0,3,0,0,0,1,0,3,0.0007818101,0.00410921,0.1174429,0.72169673,0.010158043,0.0022565098,0.13090305,0.012651821
27,0,0,3,0,0,0,1,1,3,0.0006737812,0.003924936,0.13411699,0.7252967,0.00859698,0.0022377137,0.11432607,0.01082675
28,0,0,3,0,0,1,0,0,0,0.32756126,0.056591757,0.04276555,0.07164772,0.16174424,0.025725683,0.18961044,0.124353476
29,0,0,3,0,0,1,0,1,0,0.26154852,0.06690545,0.081480525,0.113256395,0.14494382,0.031500295,0.1858686,0.11449644
30,0,0,3,0,0,1,1,0,6,0.06326143,0.03398095,0.08109126,0.26679924,0.11131296,0.01615133,0.3252803,0.102122486
31,0,0,3,0,0,1,1,1,3,0.045271233,0.033638097,0.1255142,0.3361989,0.08538168,0.016953038,0.27633345,0.0807094
32,0,0,4,0,0,0,0,0,3,0.0030032187,0.008758142,0.13385805,0.62801975,0.021380324,0.004641838,0.17598309,0.024355583
33,0,0,4,0,0,0,0,1,3,0.0022555105,0.008021971,0.16016108,0.64918727,0.016436668,0.004382664,0.14056736,0.018987581
34,0,0,4,0,0,0,1,0,3,0.0002652488,0.0020745818,0.08717991,0.7791985,0.006002263,0.0011560775,0.11606297,0.008060453
35,0,0,4,0,0,0,1,1,3,0.00022202477,0.0019539318,0.10034396,0.7846376,0.0049659936,0.0011345996,0.09998324,0.0067586247
36,0,0,4,0,0,1,0,0,6,0.18190172,0.04714615,0.051598694,0.1288645,0.15932432,0.021467136,0.27797335,0.13172422
37,0,0,4,0,0,1,0,1,6,0.14042452,0.052379776,0.09110586,0.18602096,0.13455757,0.024911048,0.25628254,0.11431772
38,0,0,4,0,0,1,1,0,6,0.024999402,0.020251708,0.0714801,0.35608092,0.07968043,0.009748653,0.35859868,0.079160206
39,0,0,4,0,0,1,1,1,3,0.017102126,0.019219087,0.10684147,0.4337106,0.05865254,0.009837577,0.29450214,0.060134586
