Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,2,0.046709076,0.08363623,0.21182038,0.18448204,0.12338157,0.08869032,0.14907135,0.11220912
1,0,0,0,0,0,0,0,1,3,0.032168407,0.061887957,0.26240623,0.26860923,0.06293618,0.06556886,0.13648482,0.10993828
2,0,0,0,0,0,0,1,0,7,0.025573801,0.065927684,0.13038722,0.27407968,0.04103113,0.06720636,0.118773974,0.2770201
3,0,0,0,0,0,0,1,1,3,0.015164083,0.03951703,0.133714,0.3775462,0.015822161,0.038687002,0.09388078,0.28566876
4,0,0,0,0,0,1,0,0,4,0.07438842,0.056104492,0.21739924,0.09192444,0.22320138,0.067965984,0.21537837,0.053637512
5,0,0,0,0,0,1,0,1,2,0.054644454,0.047985155,0.30635613,0.15329343,0.12136942,0.057325896,0.20151444,0.057511184
6,0,0,0,0,0,1,1,0,6,0.057436038,0.056965947,0.1682046,0.19553606,0.07483446,0.06659416,0.2067565,0.17367214
7,0,0,0,0,0,1,1,1,3,0.037051167,0.038885932,0.18674986,0.30278218,0.030028952,0.04318906,0.1611352,0.2001776
8,0,0,1,0,0,0,0,0,3,0.028108938,0.05331698,0.27442554,0.33309197,0.05573827,0.061969634,0.08157848,0.111770056
9,0,0,1,0,0,0,0,1,3,0.01156303,0.028547553,0.33477035,0.4413971,0.022163779,0.03448114,0.066773705,0.0603034
10,0,0,1,0,0,0,1,0,3,0.014647236,0.031123389,0.1367141,0.44103113,0.0136170965,0.03530632,0.05435231,0.27320847
11,0,0,1,0,0,0,1,1,3,0.005822472,0.015798127,0.1561348,0.59455836,0.004858343,0.017459963,0.04430669,0.16106136
12,0,0,1,0,0,1,0,0,2,0.094148844,0.045124624,0.2916946,0.19053411,0.12673202,0.06603053,0.10755766,0.07817751
13,0,0,1,0,0,1,0,1,2,0.04070076,0.028273623,0.4102424,0.28947386,0.0532625,0.042739704,0.088478334,0.04682889
14,0,0,1,0,0,1,1,0,3,0.06705922,0.032040887,0.17334831,0.3432511,0.028332654,0.0457294,0.07632898,0.23390955
15,0,0,1,0,0,1,1,1,3,0.027126303,0.017861523,0.21729259,0.49464408,0.010689349,0.025123907,0.060921237,0.14634106
16,0,0,2,0,0,0,0,0,3,0.0065674447,0.029349554,0.34665337,0.42688578,0.030925767,0.03412027,0.0807374,0.044760346
17,0,0,2,0,0,0,0,1,3,0.0022058361,0.012651966,0.38141617,0.50513434,0.009858564,0.015525266,0.05473959,0.018468305
18,0,0,2,0,0,0,1,0,3,0.0035114316,0.016844844,0.15731688,0.60882443,0.0064405752,0.018400462,0.051766288,0.1368952
19,0,0,2,0,0,0,1,1,3,0.0010852702,0.0070343115,0.16398749,0.7278132,0.0018408194,0.0074437032,0.034846313,0.0559489
20,0,0,2,0,0,1,0,0,2,0.042740762,0.028884772,0.38749465,0.251096,0.09824522,0.0477541,0.10335367,0.040430862
21,0,0,2,0,0,1,0,1,2,0.013978484,0.014008838,0.49455598,0.33071172,0.032983355,0.024734149,0.0713745,0.017653069
22,0,0,2,0,0,1,1,0,3,0.029250987,0.01892935,0.22507711,0.47253406,0.019450542,0.03055925,0.070228346,0.13397038
23,0,0,2,0,0,1,1,1,3,0.008730256,0.008591373,0.26195952,0.5980332,0.00584722,0.013691046,0.046054702,0.05709267
24,0,0,3,0,0,0,0,0,3,0.0012320231,0.017447403,0.35856384,0.47520196,0.016049184,0.017193148,0.09543654,0.018875975
25,0,0,3,0,0,0,0,1,3,0.00042068376,0.006936531,0.38070402,0.5343821,0.0048000133,0.007340477,0.058092214,0.007324041
26,0,0,3,0,0,0,1,0,3,0.0006184155,0.010387402,0.14920676,0.69654876,0.003218424,0.009209932,0.0645534,0.066256955
27,0,0,3,0,0,0,1,1,3,0.00018743366,0.0038573549,0.14893208,0.7807677,0.00083587907,0.0034042774,0.03810757,0.023907628
28,0,0,3,0,0,1,0,0,2,0.013209671,0.018429322,0.4493228,0.27045614,0.072578855,0.02870129,0.12833707,0.018964881
29,0,0,3,0,0,1,0,1,2,0.004140272,0.007995541,0.53415126,0.33311754,0.021595992,0.013504899,0.07774815,0.0077464078
30,0,0,3,0,0,1,1,0,3,0.008222203,0.0121347485,0.24995583,0.5345407,0.013683136,0.018122992,0.09249183,0.07084848
31,0,0,3,0,0,1,1,1,3,0.0023133196,0.0048155496,0.27574918,0.6285618,0.0035977447,0.0072731287,0.051428568,0.026260767
32,0,0,4,0,0,0,0,0,3,0.00021669715,0.010518534,0.34287465,0.5043154,0.0078417575,0.008487431,0.117315315,0.008430233
33,0,0,4,0,0,0,0,1,3,7.818063e-05,0.004142638,0.36455598,0.55230993,0.0024326409,0.0036325245,0.069656216,0.0031918343
34,0,0,4,0,0,0,1,0,3,0.0001094905,0.0066988887,0.13082255,0.7350076,0.0016715549,0.0046976856,0.08696598,0.034026287
35,0,0,4,0,0,0,1,1,3,3.400914e-05,0.0024052768,0.12962836,0.8047458,0.00042967868,0.0017133126,0.0493439,0.011699767
36,0,0,4,0,0,1,0,0,2,0.003167755,0.011359724,0.47415623,0.28126538,0.043811295,0.015426742,0.16182019,0.008992759
37,0,0,4,0,0,1,0,1,2,0.0010089822,0.004686651,0.54881877,0.32886788,0.012986835,0.0070196893,0.0931283,0.0034828794
38,0,0,4,0,0,1,1,0,3,0.0019475311,0.007881907,0.24559474,0.5533347,0.008910964,0.0101023195,0.13344066,0.038787235
39,0,0,4,0,0,1,1,1,3,0.0005625367,0.0029796814,0.27128848,0.6350363,0.0023060332,0.003959726,0.07037331,0.013493872
